,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.75642,1.08084,-1.21509,-0.09009,1.06268,0.18818,0.4263,0.0441
1,0.62508,1.2466,-0.55896,-0.17832,0.8775,-0.23623,0.24177,0.28828
2,0.69855,1.01988,-0.49174,-0.21038,0.26597,-0.11728,0.21653,0.13554
3,0.70353,0.9079,-0.77802,-0.36543,0.55223,0.22935,0.14836,-0.25937
4,0.75,0.83747,-0.42803,-0.47068,0.1352,0.0938,-0.01964,0.03378
5,0.8626,0.55615,-0.10602,-0.30056,0.76479,-0.40367,0.36077,0.01881
6,0.50066,0.96494,-0.49508,-0.55901,0.85696,-0.18891,0.08629,0.0798
7,0.73037,1.3649,-0.46318,0.17216,0.63686,0.05937,-0.53294,0.15076
8,0.72779,1.71133,-0.38693,0.05615,0.65724,-0.00796,0.07779,-0.01171
9,0.65378,0.81132,-0.58787,-0.32806,0.44913,0.15531,0.09649,-0.05297
10,0.63712,1.51014,-0.9519,0.10461,1.06388,0.05298,0.03741,0.24328
11,0.80152,1.6449,-0.69415,-0.05359,0.21136,0.1454,0.10604,-0.08468
12,0.67977,1.01738,-0.58865,0.18631,1.15083,-0.1146,-0.67687,0.06562
13,0.79328,1.29092,-0.7492,0.2675,1.13867,-0.25228,0.37534,-0.04098
14,0.71868,1.05069,-0.22467,-0.26631,0.67186,-0.42822,-0.02292,0.15544
15,0.94713,1.57248,-0.53619,0.06386,0.23151,0.19789,-0.11233,0.04528
16,0.56909,1.06719,-0.49016,0.14207,0.36391,-0.05305,-0.27114,-0.10368
17,0.85797,1.32932,-0.3799,-0.01674,0.67036,-0.21915,-0.2558,-0.05819
18,0.6891,1.17873,-0.63315,0.00817,0.29053,0.04919,-0.02462,-0.38853
19,0.59054,0.77957,-0.71186,0.10656,0.16076,0.21934,0.38589,-0.03262
20,0.91862,1.07348,-1.45863,0.17759,1.12358,0.47994,0.30825,0.0037
21,0.74034,1.7153,-0.39102,-0.07869,0.88591,-0.15963,-0.35821,0.16107
22,0.91182,0.76758,-0.83931,0.09982,0.55743,0.09796,0.66128,0.12207
23,0.52788,1.32771,-0.25238,0.19564,0.56545,-0.20837,-0.53285,-0.0784
24,0.57599,0.84929,-0.91015,-0.15591,1.06062,0.23117,0.38392,0.48927
25,0.83029,0.98964,-0.501,-0.44831,0.58116,-0.06559,0.60465,0.20091
26,0.6533,0.95325,-0.51141,0.01355,0.82419,-0.45208,0.16888,0.05119
27,0.75653,1.02381,-0.54562,-0.24686,0.25786,-0.17557,0.24992,0.02445
28,0.87926,1.22208,-0.47373,0.15866,0.18444,0.09775,-0.41078,-0.03898
29,0.74078,1.13107,-0.54386,-0.2392,0.68008,-0.04224,0.31984,-0.0824
30,1.00552,1.42854,-0.275,-0.74126,0.47319,-0.27162,0.28583,-0.14365
31,0.55031,0.80564,-0.68952,-0.116,0.3018,0.24842,-0.00019,-0.08974
32,0.85428,0.98276,-0.48037,-0.34879,1.21918,-0.16032,-0.39032,0.27262
33,0.75037,0.79901,-0.25491,0.01404,0.42844,-0.12316,-0.37356,-0.09449
34,0.68748,1.09079,-0.58844,-0.14023,0.59568,-0.08968,0.24884,0.15991
35,0.73554,1.34106,-0.30093,-0.21117,0.42145,-0.18647,0.20535,0.0725
36,0.79752,1.29398,-0.35617,-0.2564,0.38945,0.12167,-0.44152,-0.00192
37,0.57457,0.91267,-0.10362,-0.0492,0.36603,-0.35283,-0.19462,0.07883
38,0.60682,1.22728,-0.5801,0.01027,0.29581,0.21953,-0.37249,-0.09184
39,0.8946,1.07383,-0.20318,0.0847,0.26868,-0.18579,-0.13304,-0.01076
40,0.85864,1.40352,-0.13782,-0.33662,0.12842,-0.00128,-0.41786,-0.02705
41,0.53324,0.98319,-0.55842,-0.13292,0.89689,0.033,-0.33302,-0.11329
42,0.67392,1.03645,-0.23435,-0.36474,0.66343,-0.31239,0.037,0.02804
43,0.783,0.87304,-0.82954,-0.08067,0.73803,-0.07868,0.15402,0.08647
44,0.79776,1.10018,-0.37481,-0.21984,0.70466,-0.22624,-0.1426,0.14535
45,0.66767,0.96077,-0.35998,-0.00311,0.6038,-0.17043,0.15314,0.05383
46,0.66023,1.38417,-0.62216,0.28006,0.56449,-0.15325,0.49652,0.19781
47,0.47861,1.35175,-0.8038,0.33866,0.61869,0.20769,-0.12259,-0.16591
48,0.69506,1.09764,-0.53954,-0.0281,0.61126,-0.07446,-0.03936,0.07062
49,0.67348,1.26862,-0.62533,0.6174,0.83324,-0.55159,0.43851,-0.06231
