Subsampling Type,Model,Value,AUC (training),AUC (test),accuracy (training),accuracy (test),average class accuracy (training),average class accuracy (test),f1 (training),f1 (test)
none,GLM,median,0.6949377238779764,0.6714218455743879,0.8391777509068924,0.8357487922705314,0.2574091395951255,0.23382045929018788,0.2133744932495258,0.18604651162790697
none,GLM,iqr,0.020971367031114574,0.0604755178907721,0.00725513905683195,0.01449275362318836,0.03757189647618886,0.10343736835603198,0.034976268711208486,0.10555154316529439
none,Lasso,median,0.6948996792545595,0.670668549905838,0.8391777509068924,0.8357487922705314,0.2454721374208276,0.23382045929018788,0.2133744932495258,0.18604651162790697
none,Lasso,iqr,0.020621649146629673,0.05927495291902085,0.00725513905683195,0.01449275362318836,0.03767599574955127,0.10346402772074384,0.037758765054775406,0.1062761808464538
none,Elasticnet,median,0.6854499800997355,0.6573917137476459,0.8355501813784765,0.8260869565217391,0.2808786521199724,0.23432597024342702,0.21712938711367208,0.19405220367993153
none,Elasticnet,iqr,0.03509762835670638,0.09470338983050852,0.0226723095525998,0.024154589371980673,0.12660853109173265,0.14829020683933772,0.07781689426471955,0.10499626679940269
none,Catboost,median,0.7930021304989114,0.7340866290018833,0.8585247883917775,0.855072463768116,0.1665076072321005,0.12472621944820525,0.15715087504464514,0.10533610533610534
none,Catboost,iqr,0.02438660361014211,0.06005178907721265,0.010278113663845345,0.01449275362318847,0.1816138271459658,0.165515554190381,0.16853764954257566,0.15753968253968254
random,GLM,median,0.7531760125674476,0.7330508474576272,0.6942148760330579,0.6473429951690821,0.6890681447023309,0.6726209228970632,0.7030763686400419,0.3740084611316764
random,GLM,iqr,0.030377023427361483,0.06553672316384174,0.024793388429752095,0.03743961352656999,0.029767158575248587,0.06871254318321529,0.02516588987232493,0.06519395193079947
random,Lasso,median,0.7545591148145618,0.7446798493408663,0.6818181818181818,0.5869565217391304,0.6554316439310963,0.641954941799991,0.7119869940346656,0.3574262085658576
random,Lasso,iqr,0.026996106823304555,0.06541902071563088,0.04028925619834711,0.07004830917874394,0.05715331601634799,0.06969708259484553,0.027830493325419647,0.05435023005555928
random,Elasticnet,median,0.7522027183935522,0.7375706214689266,0.6673553719008265,0.5845410628019324,0.6384939171500437,0.6300829320492242,0.7119869940346656,0.34287466775710485
random,Elasticnet,iqr,0.03262243016187405,0.06261770244821108,0.04028925619834722,0.08574879227053134,0.08228515290748806,0.07843674066097484,0.029463334628299864,0.05541593503072867
random,Catboost,median,0.7777815722969743,0.723587570621469,0.7148760330578512,0.6811594202898551,0.7109807339267133,0.6691810162226091,0.7183807183807185,0.37199837199837194
random,Catboost,iqr,0.03770234273615192,0.05727401129943499,0.032024793388429784,0.0628019323671497,0.034014902138063685,0.06622157742977997,0.03487646764977381,0.062313574078279976
